,Unnamed: 0,Unnamed: 0.1,askPrice,baseLastPrice,baseSymbol,bidPrice,daysToExpiration,expirationDate,exportedAt,lastPrice,midpoint,openInterest,strikePrice,symbolType,tradeTime,volatility,volume,volumeOpenInterestRatio,priceDiff,priceDiffPerc,inTheMoney,nrOptions,strikePriceCum,nrCalls,meanStrikeCall,volumeCall,openInterestCall,nrPuts,meanStrikePut,volumePut,openInterestPut,volumeCumSum,openInterestCumSum,nrHigherOptions,higherStrikePriceCum,meanStrikeCallPerc,meanStrikePutPerc,midpointPerc,meanHigherStrike
41,83.0,,0.12,361.74,AAPL,0.1,8,2020-07-02,2020-06-24,0.11,0.11,1126.0,440.0,Call,13:53 ET,56.69,1811.0,1.61,78.25999999999999,1.2163432299441588,0,1,440.0,9.0,389.1666666666667,38788.0,22611.0,6.0,358.3333333333333,27742.0,9462.0,1811.0,1126.0,1,440.0,1.0758187279998526,0.9905825546893716,0.0003040858074860397,440.0
43,84.0,,10.0,361.74,AAPL,9.8,16,2020-07-10,2020-06-24,9.95,9.9,613.0,362.5,Call,14:44 ET,34.11,1108.0,1.81,0.7599999999999909,1.0021009564880854,0,1,362.5,6.0,370.0,14312.0,9133.0,1.0,360.0,805.0,387.0,14312.0,9133.0,6,2220.0,1.0228340797257698,0.9951899154088572,0.027367722673743572,370.0
44,6.0,,8.7,361.74,AAPL,8.55,16,2020-07-10,2020-06-24,8.7,8.63,1545.0,365.0,Call,14:43 ET,33.73,3063.0,1.98,3.259999999999991,1.0090119975673135,0,1,365.0,6.0,370.0,14312.0,9133.0,1.0,360.0,805.0,387.0,13204.0,8520.0,5,1857.5,1.0228340797257698,0.9951899154088572,0.02385691380549566,371.5
45,50.0,,7.2,361.74,AAPL,7.0,16,2020-07-10,2020-06-24,7.18,7.1,999.0,367.5,Call,14:59 ET,33.89,1276.0,1.28,5.759999999999991,1.0159230386465417,0,1,367.5,6.0,370.0,14312.0,9133.0,1.0,360.0,805.0,387.0,10141.0,6975.0,4,1492.5,1.0228340797257698,0.9951899154088572,0.019627356665008016,373.125
46,87.0,,6.65,361.74,AAPL,6.5,16,2020-07-10,2020-06-24,6.5,6.58,3418.0,370.0,Call,14:41 ET,33.01,5518.0,1.61,8.259999999999991,1.0228340797257698,0,1,370.0,6.0,370.0,14312.0,9133.0,1.0,360.0,805.0,387.0,8865.0,5976.0,3,1125.0,1.0228340797257698,0.9951899154088572,0.018189860120528555,375.0
47,85.0,,4.75,361.74,AAPL,4.6,16,2020-07-10,2020-06-24,4.67,4.68,1284.0,375.0,Call,14:57 ET,33.68,1589.0,1.24,13.259999999999991,1.0366561618842263,0,1,375.0,6.0,370.0,14312.0,9133.0,1.0,360.0,805.0,387.0,3347.0,2558.0,2,755.0,1.0228340797257698,0.9951899154088572,0.012937468900315142,377.5
48,60.0,,3.5,361.74,AAPL,3.35,16,2020-07-10,2020-06-24,3.46,3.43,1274.0,380.0,Call,14:57 ET,33.76,1758.0,1.38,18.25999999999999,1.0504782440426825,0,1,380.0,6.0,370.0,14312.0,9133.0,1.0,360.0,805.0,387.0,1758.0,1274.0,1,380.0,1.0228340797257698,0.9951899154088572,0.009481948360701056,380.0
49,85.0,,11.9,361.74,AAPL,11.75,23,2020-07-17,2020-06-24,11.85,11.83,207.0,362.5,Call,14:44 ET,33.56,1094.0,5.29,0.7599999999999909,1.0021009564880854,0,1,362.5,3.0,385.0,3765.0,1970.0,5.0,358.5,7854.0,4480.0,3765.0,1970.0,3,1155.0,1.064300326201139,0.9910432907613203,0.03270304638690772,385.0
50,2.0,,9.05,361.74,AAPL,8.95,23,2020-07-17,2020-06-24,9.25,9.0,494.0,367.5,Call,14:56 ET,34.01,789.0,1.6,5.759999999999991,1.0159230386465417,0,1,367.5,3.0,385.0,3765.0,1970.0,5.0,358.5,7854.0,4480.0,2671.0,1763.0,2,792.5,1.064300326201139,0.9910432907613203,0.024879747885221428,396.25
51,83.0,,0.75,361.74,AAPL,0.73,23,2020-07-17,2020-06-24,0.72,0.74,1269.0,425.0,Call,14:56 ET,38.81,1882.0,1.48,63.25999999999999,1.1748769834687898,0,1,425.0,3.0,385.0,3765.0,1970.0,5.0,358.5,7854.0,4480.0,1882.0,1269.0,1,425.0,1.064300326201139,0.9910432907613203,0.0020456681594515397,425.0
