iter	Passed	Remaining
157	507	2705
158	509	2695
159	511	2685
160	513	2675
161	515	2666
162	517	2656
163	519	2647
164	521	2637
165	523	2628
166	525	2619
167	527	2610
168	529	2601
169	530	2592
170	532	2583
171	535	2575
172	536	2566
173	538	2558
174	540	2549
175	542	2541
176	544	2532
177	546	2523
178	548	2515
179	550	2507
180	552	2498
181	554	2490
182	556	2482
183	557	2474
184	560	2467
185	562	2460
186	564	2452
187	566	2444
188	567	2437
189	570	2430
190	572	2423
191	574	2415
192	575	2407
193	578	2402
194	580	2395
195	582	2387
196	583	2380
197	585	2373
198	588	2366
199	589	2359
200	591	2352
201	594	2346
202	595	2339
203	598	2334
204	600	2329
205	603	2324
206	605	2319
207	608	2316
208	611	2313
209	614	2312
210	618	2314
211	621	2310
212	627	2317
213	631	2317
214	635	2320
215	639	2320
216	642	2318
217	647	2323
218	654	2334
219	660	2341
220	665	2344
221	670	2349
222	683	2381
223	691	2394
224	697	2401
225	703	2409
226	708	2412
227	714	2420
228	719	2421
229	726	2431
230	738	2458
231	748	2476
232	756	2489
233	760	2489
234	768	2501
235	774	2506
236	780	2513
237	784	2510
238	792	2522
239	800	2533
240	805	2538
241	815	2554
242	820	2556
243	825	2557
244	830	2559
245	833	2554
246	842	2567
247	853	2586
248	857	2587
249	865	2597
250	870	2598
251	874	2596
252	881	2603
253	885	2601
254	889	2598
255	894	2600
256	897	2594
257	901	2593
258	906	2592
259	913	2601
260	918	2600
261	924	2603
262	932	2614
263	937	2614
264	940	2608
265	946	2611
266	950	2610
267	953	2605
268	956	2599
269	959	2594
270	964	2594
271	969	2595
272	972	2590
273	975	2584
274	978	2578
275	981	2573
276	983	2567
277	986	2561
278	989	2556
279	991	2550
280	994	2544
281	997	2539
282	999	2533
283	1002	2526
284	1004	2519
285	1006	2511
286	1008	2504
287	1011	2500
288	1016	2501
289	1019	2495
290	1021	2488
291	1023	2481
292	1025	2474
293	1028	2468
294	1030	2461
295	1032	2454
296	1034	2448
297	1036	2442
298	1039	2435
299	1041	2430
300	1044	2424
301	1046	2419
302	1049	2413
303	1051	2407
304	1054	2402
305	1057	2398
306	1062	2398
307	1066	2396
308	1069	2390
309	1072	2386
310	1074	2381
311	1077	2376
312	1080	2370
313	1082	2364
314	1085	2359
315	1087	2354
316	1090	2348
317	1092	2343
318	1094	2337
319	1097	2331
320	1099	2325
321	1101	2320
322	1104	2314
323	1106	2309
324	1111	2308
325	1115	2305
326	1117	2300
327	1120	2294
328	1122	2288
329	1124	2282
330	1126	2276
331	1128	2269
332	1130	2263
333	1132	2257
334	1134	2251
335	1135	2244
336	1137	2238
337	1140	2233
338	1142	2227
339	1144	2222
340	1147	2217
341	1149	2212
342	1152	2207
343	1155	2204
344	1159	2201
345	1162	2197
346	1165	2193
347	1168	2188
348	1170	2182
349	1172	2178
350	1175	2172
351	1177	2167
352	1179	2162
353	1182	2156
354	1184	2152
355	1186	2146
356	1189	2141
357	1191	2136
358	1193	2131
359	1196	2127
360	1199	2122
361	1201	2118
362	1207	2118
363	1211	2116
364	1214	2112
365	1216	2107
366	1218	2102
367	1220	2096
368	1223	2091
369	1225	2086
370	1227	2080
371	1229	2074
372	1231	2069
373	1233	2064
374	1235	2059
375	1237	2054
376	1240	2050
377	1243	2045
378	1245	2040
379	1248	2036
380	1251	2032
381	1255	2030
382	1257	2025
383	1260	2021
384	1262	2016
385	1264	2011
386	1267	2008
387	1271	2005
388	1274	2001
389	1276	1996
390	1278	1991
391	1281	1987
392	1283	1982
393	1285	1977
394	1288	1972
395	1290	1968
396	1292	1963
397	1295	1959
398	1297	1954
399	1299	1949
400	1303	1946
401	1305	1941
402	1307	1936
403	1309	1931
404	1311	1926
405	1313	1921
406	1315	1916
407	1318	1912
408	1321	1908
409	1323	1904
410	1325	1900
411	1328	1895
412	1330	1891
413	1333	1886
414	1335	1882
415	1338	1878
416	1340	1873
417	1342	1869
418	1345	1865
419	1348	1861
420	1352	1859
421	1354	1854
422	1356	1850
423	1359	1846
424	1361	1841
425	1364	1838
426	1368	1835
427	1370	1832
428	1373	1827
429	1376	1824
430	1378	1819
431	1380	1815
432	1383	1811
433	1385	1806
434	1388	1802
435	1390	1798
436	1392	1794
437	1394	1789
438	1396	1784
439	1399	1780
440	1401	1776
441	1403	1772
442	1405	1767
443	1407	1762
444	1409	1758
445	1412	1754
446	1414	1750
447	1416	1745
448	1419	1741
449	1421	1737
450	1424	1733
451	1426	1729
452	1428	1725
453	1431	1721
454	1433	1717
455	1436	1713
456	1438	1709
457	1441	1705
458	1444	1703
459	1449	1702
460	1453	1699
461	1456	1695
462	1459	1692
463	1463	1690
464	1466	1687
465	1469	1684
466	1472	1680
467	1474	1676
468	1477	1672
469	1479	1668
470	1482	1665
471	1485	1661
472	1487	1657
473	1489	1652
474	1491	1649
475	1494	1645
476	1498	1642
477	1500	1638
478	1502	1633
479	1504	1629
480	1506	1625
481	1509	1622
482	1511	1618
483	1514	1614
484	1516	1610
485	1518	1605
486	1521	1602
487	1523	1598
488	1526	1595
489	1529	1591
490	1531	1587
491	1534	1583
492	1537	1580
493	1539	1577
494	1542	1573
495	1545	1570
496	1548	1567
497	1550	1563
498	1553	1559
499	1556	1556
500	1560	1554
501	1563	1551
502	1566	1547
503	1568	1543
504	1571	1540
505	1575	1537
506	1577	1534
507	1580	1530
508	1583	1527
509	1585	1523
510	1587	1518
511	1588	1514
512	1591	1510
513	1593	1506
514	1595	1502
515	1598	1499
516	1601	1496
517	1603	1492
518	1606	1488
519	1608	1484
520	1610	1480
521	1612	1476
522	1614	1472
523	1616	1468
524	1618	1464
525	1620	1460
526	1622	1456
527	1624	1452
528	1626	1448
529	1629	1444
530	1632	1441
531	1634	1437
532	1636	1433
533	1638	1429
534	1640	1425
535	1642	1421
536	1644	1417
537	1646	1413
538	1648	1409
539	1650	1405
540	1652	1402
541	1654	1398
542	1656	1394
543	1658	1390
544	1660	1386
545	1662	1382
546	1664	1378
547	1666	1374
548	1669	1371
549	1671	1367
550	1673	1363
551	1675	1359
552	1678	1356
553	1680	1352
554	1682	1348
555	1684	1345
556	1686	1341
557	1691	1339
558	1694	1336
559	1696	1332
560	1698	1329
561	1701	1325
562	1702	1321
563	1704	1317
564	1707	1314
565	1709	1310
566	1711	1306
567	1713	1302
568	1715	1299
569	1717	1295
570	1719	1291
571	1721	1288
572	1723	1284
573	1725	1280
574	1727	1277
575	1730	1273
576	1732	1269
577	1734	1266
578	1736	1262
579	1738	1259
580	1740	1255
581	1742	1251
582	1744	1247
583	1746	1244
584	1748	1240
585	1750	1236
586	1752	1233
587	1754	1229
588	1756	1225
589	1759	1222
590	1761	1218
591	1763	1215
592	1765	1211
593	1766	1207
594	1769	1204
595	1771	1200
596	1773	1197
597	1775	1193
598	1777	1189
599	1779	1186
600	1781	1182
601	1783	1179
602	1785	1175
603	1787	1171
604	1789	1168
605	1791	1164
606	1794	1161
607	1796	1158
608	1799	1155
609	1801	1151
610	1803	1148
611	1805	1144
612	1807	1141
613	1809	1137
614	1811	1134
615	1813	1130
616	1816	1127
617	1817	1123
618	1819	1120
619	1821	1116
620	1824	1113
621	1826	1109
622	1828	1106
623	1830	1103
624	1832	1099
625	1834	1096
626	1836	1092
627	1838	1089
628	1840	1085
629	1842	1082
630	1844	1078
631	1846	1075
632	1848	1071
633	1850	1068
634	1852	1064
635	1854	1061
636	1856	1058
637	1858	1054
638	1860	1051
639	1862	1047
640	1864	1044
641	1866	1041
642	1869	1037
643	1871	1034
644	1873	1031
645	1875	1027
646	1877	1024
647	1879	1020
648	1881	1017
649	1883	1014
650	1885	1010
651	1887	1007
652	1889	1004
653	1891	1000
654	1894	997
655	1896	994
656	1899	991
657	1902	988
658	1904	985
659	1907	982
660	1910	979
661	1912	976
662	1915	973
663	1917	970
664	1920	967
665	1922	964
666	1925	961
667	1928	958
668	1931	955
669	1933	952
670	1936	949
671	1938	946
672	1941	943
673	1944	940
674	1946	937
675	1949	934
676	1951	931
677	1954	928
678	1956	924
679	1958	921
680	1960	918
681	1962	914
682	1964	911
683	1966	908
684	1968	905
685	1971	902
686	1973	899
687	1975	895
688	1977	892
689	1979	889
690	1981	886
691	1983	883
692	1986	880
693	1989	877
694	1991	873
695	1994	871
696	1996	868
697	1999	865
698	2002	862
699	2004	859
700	2006	856
701	2010	853
702	2012	850
703	2014	847
704	2017	844
705	2019	841
706	2022	838
707	2025	835
708	2028	832
709	2030	829
710	2033	826
711	2037	823
712	2040	821
713	2043	818
714	2045	815
715	2052	814
716	2058	812
717	2063	810
718	2067	808
719	2071	805
720	2076	803
721	2082	801
722	2087	799
723	2092	797
724	2098	795
725	2102	793
726	2107	791
727	2110	788
728	2112	785
729	2115	782
730	2118	779
731	2121	776
732	2124	773
733	2126	770
734	2129	767
735	2131	764
736	2134	761
737	2137	758
738	2140	755
739	2142	752
740	2144	749
741	2146	746
742	2149	743
743	2151	740
744	2153	737
745	2155	733
746	2157	730
747	2159	727
748	2161	724
749	2163	721
750	2166	718
751	2168	715
752	2171	712
753	2173	709
754	2176	706
755	2179	703
756	2182	700
757	2184	697
758	2187	694
759	2189	691
760	2192	688
761	2195	685
762	2197	682
763	2200	679
764	2202	676
765	2205	673
766	2207	670
767	2210	667
768	2212	664
769	2215	661
770	2217	658
771	2219	655
772	2222	652
773	2225	649
774	2230	647
775	2234	644
776	2238	642
777	2241	639
778	2244	636
779	2247	633
780	2250	630
781	2253	628
782	2255	625
783	2258	622
784	2260	619
785	2263	616
786	2266	613
787	2269	610
788	2271	607
789	2274	604
790	2277	601
791	2279	598
792	2282	595
793	2285	592
794	2287	589
795	2290	587
796	2293	584
797	2295	581
798	2298	578
799	2300	575
800	2302	572
801	2305	569
802	2308	566
803	2310	563
804	2313	560
805	2316	557
806	2318	554
807	2321	551
808	2323	548
809	2325	545
810	2327	542
811	2329	539
812	2331	536
813	2333	533
814	2336	530
815	2337	527
816	2339	524
817	2342	521
818	2344	518
819	2346	515
820	2348	512
821	2351	509
822	2353	506
823	2356	503
824	2358	500
825	2361	497
826	2363	494
827	2366	491
828	2368	488
829	2371	485
830	2373	482
831	2376	479
832	2378	476
833	2381	474
834	2384	471
835	2386	468
836	2389	465
837	2391	462
838	2394	459
839	2397	456
840	2399	453
841	2402	450
842	2405	447
843	2407	445
844	2410	442
845	2413	439
846	2415	436
847	2417	433
848	2419	430
849	2421	427
850	2423	424
851	2425	421
852	2428	418
853	2430	415
854	2432	412
855	2434	409
856	2436	406
857	2438	403
858	2440	400
859	2442	397
860	2445	394
861	2448	392
862	2452	389
863	2456	386
864	2460	383
865	2465	381
866	2468	378
867	2471	375
868	2476	373
869	2480	370
870	2483	367
871	2486	365
872	2490	362
873	2493	359
874	2495	356
875	2498	353
876	2501	350
877	2504	348
878	2507	345
879	2509	342
880	2512	339
881	2514	336
882	2516	333
883	2518	330
884	2520	327
885	2523	324
886	2525	321
887	2527	318
888	2529	315
889	2531	312
890	2533	309
891	2534	306
892	2537	304
893	2539	301
894	2541	298
895	2543	295
896	2546	292
897	2548	289
898	2551	286
899	2554	283
900	2556	280
901	2559	278
902	2562	275
903	2564	272
904	2566	269
905	2569	266
906	2572	263
907	2574	260
908	2577	258
909	2579	255
910	2582	252
911	2584	249
912	2587	246
913	2590	243
914	2592	240
915	2595	238
916	2598	235
917	2601	232
918	2603	229
919	2607	226
920	2609	223
921	2611	220
922	2614	218
923	2616	215
924	2618	212
925	2621	209
926	2623	206
927	2625	203
928	2627	200
929	2629	197
930	2632	195
931	2634	192
932	2637	189
933	2639	186
934	2642	183
935	2646	180
936	2648	178
937	2651	175
938	2654	172
939	2657	169
940	2659	166
941	2662	163
942	2664	161
943	2667	158
944	2670	155
945	2672	152
946	2674	149
947	2677	146
948	2679	144
949	2682	141
950	2684	138
951	2687	135
952	2689	132
953	2691	129
954	2693	126
955	2695	124
956	2697	121
957	2699	118
958	2701	115
959	2703	112
960	2705	109
961	2707	106
962	2709	104
963	2711	101
964	2713	98
965	2716	95
966	2718	92
967	2719	89
968	2721	87
969	2723	84
970	2726	81
971	2729	78
972	2731	75
973	2733	72
974	2737	70
975	2740	67
976	2743	64
977	2747	61
978	2751	59
979	2755	56
980	2759	53
981	2762	50
982	2765	47
983	2768	45
984	2770	42
985	2773	39
986	2777	36
987	2781	33
988	2784	30
989	2786	28
990	2790	25
991	2793	22
992	2797	19
993	2799	16
994	2801	14
995	2803	11
996	2805	8
997	2807	5
998	2809	2
999	2812	0
