iter	Logloss
471	0.4232461005
472	0.4229433318
473	0.4228044885
474	0.4224590503
475	0.4223428442
476	0.4222074471
477	0.4219692175
478	0.4218058568
479	0.4216230759
480	0.4214084027
481	0.4211815909
482	0.4209553257
483	0.4208473268
484	0.4206918123
485	0.4204901679
486	0.420344098
487	0.4201153405
488	0.4199989515
489	0.419621844
490	0.4193856525
491	0.4191751654
492	0.4189173212
493	0.4185710794
494	0.4183932956
495	0.4182016065
496	0.4179654775
497	0.4176242405
498	0.4174594809
499	0.4171553686
500	0.4170789219
501	0.4169063736
502	0.4167464501
503	0.4164732275
504	0.4163037106
505	0.4161866406
506	0.4159497439
507	0.415683435
508	0.4153640321
509	0.4150943461
510	0.4147631451
511	0.4145726682
512	0.4141646618
513	0.4139176575
514	0.4137497282
515	0.4135974557
516	0.4135022223
517	0.4131813399
518	0.412963902
519	0.4128408512
520	0.4125959676
521	0.4123869393
522	0.4122080229
523	0.411964498
524	0.4117987243
525	0.4115585915
526	0.411354353
527	0.4112516808
528	0.4111359583
529	0.4108117584
530	0.4106932317
531	0.4105116854
532	0.4102681851
533	0.4100458681
534	0.4098031287
535	0.4096002008
536	0.4094144011
537	0.4091006552
538	0.4089548237
539	0.4088453952
540	0.4087167196
541	0.4085544764
542	0.4082740113
543	0.4079785577
544	0.407726842
545	0.4074467222
546	0.4072668278
547	0.4070383426
548	0.4068503346
549	0.4065873568
550	0.4064589174
551	0.40629289
552	0.4060535663
553	0.4058938714
554	0.405612472
555	0.4054492961
556	0.4052372102
557	0.4049531907
558	0.4046354167
559	0.4043742755
560	0.4042377908
561	0.4040106694
562	0.4038553315
563	0.4035770621
564	0.4034727575
565	0.4032204573
566	0.4030183099
567	0.4027531559
568	0.4024902207
569	0.4021098062
570	0.4020029545
571	0.4018191995
572	0.4015556747
573	0.4013441317
574	0.4010977518
575	0.4008524502
576	0.4005824471
577	0.4004173582
578	0.4002106718
579	0.4000315608
580	0.3998781228
581	0.3995814193
582	0.3993970389
583	0.3992143504
584	0.3989429328
585	0.3987736736
586	0.3986207433
587	0.3983134755
588	0.3979949848
589	0.3977837262
590	0.3975908331
591	0.3973722198
592	0.3971264205
593	0.3969030759
594	0.3965921625
595	0.3964249671
596	0.396205311
597	0.3959528592
598	0.3956146784
599	0.3954478522
600	0.3952548724
601	0.3951816478
602	0.3950069494
603	0.3947028621
604	0.394500161
605	0.3942981188
606	0.3941923059
607	0.3939469854
608	0.393651581
609	0.3935359221
610	0.3933036565
611	0.393165209
612	0.3929703271
613	0.3928249793
614	0.3926180182
615	0.3925095774
616	0.3923569967
617	0.3921652775
618	0.3919095428
619	0.3916554293
620	0.3914892405
621	0.3913031552
622	0.3910965365
623	0.3909047151
624	0.3907269401
625	0.3905909558
626	0.3902978959
627	0.3900637356
628	0.3898193844
629	0.3896859665
630	0.3895361159
631	0.3892671683
632	0.3890991977
633	0.3888666028
634	0.3886565015
635	0.3885056031
636	0.3883692519
637	0.3882119644
638	0.3880283081
639	0.3878558676
640	0.3877158787
641	0.387507166
642	0.3872974057
643	0.3869966219
644	0.3868786762
645	0.3866632102
646	0.3864251032
647	0.3861873672
648	0.3859543976
649	0.3857224599
650	0.3855632911
651	0.3853303288
652	0.3850349134
653	0.3848891213
654	0.384642245
655	0.3844048889
656	0.384232613
657	0.3839877781
658	0.3838008437
659	0.3835540858
660	0.3832403531
661	0.3830940858
662	0.3828747589
663	0.382736631
664	0.3825710153
665	0.3823398499
666	0.3821974797
667	0.3820095025
668	0.3818683927
669	0.3816522512
670	0.3815338092
671	0.3813312832
672	0.3811726297
673	0.3810318801
674	0.3808728843
675	0.3806742219
676	0.3805175299
677	0.3802720556
678	0.3801182596
679	0.3799837294
680	0.379828164
681	0.3796029672
682	0.3793868242
683	0.3792510021
684	0.3789946555
685	0.3787262862
686	0.3785658553
687	0.3784121601
688	0.3781090098
689	0.3780036748
690	0.3778124029
691	0.3776062622
692	0.3774374311
693	0.3772218978
694	0.3770348842
695	0.3768637971
696	0.3767589072
697	0.3765659092
698	0.3763378287
699	0.3761409382
700	0.3758669579
701	0.375604154
702	0.3753244178
703	0.3750574645
704	0.3747466394
705	0.3745695393
706	0.374352023
707	0.3741874827
708	0.373964069
709	0.3737936313
710	0.3736197322
711	0.3735617623
712	0.3733199358
713	0.3732269648
714	0.3729880443
715	0.3728484399
716	0.3727006305
717	0.3724825443
718	0.3722579283
719	0.3720549141
720	0.3718557541
721	0.3716287748
722	0.3714789108
723	0.3713509809
724	0.3712380491
725	0.3710044297
726	0.3708006845
727	0.3706861595
728	0.3704930235
729	0.3703067595
730	0.3701464322
731	0.3699736579
732	0.369798715
733	0.3695930947
734	0.3694598419
735	0.3692922624
736	0.3690733015
737	0.3688758201
738	0.3686317369
739	0.3683409272
740	0.3682109154
741	0.3680956852
742	0.3678661112
743	0.3676670306
744	0.3674969746
745	0.3672497436
746	0.3670523049
747	0.3668895058
748	0.3667578164
749	0.3665722876
750	0.3663700565
751	0.3661964228
752	0.3659962879
753	0.3659357085
754	0.3658127298
755	0.3656637427
756	0.36540548
757	0.3652784267
758	0.3650855075
759	0.3648458731
760	0.3647498104
761	0.3646447599
762	0.3644221644
763	0.3642377504
764	0.3640172043
765	0.3638312012
766	0.3637290416
767	0.3635349185
768	0.3634088852
769	0.363311183
770	0.3631658268
771	0.3629547787
772	0.3628104238
773	0.3626939904
774	0.362563393
775	0.3624495176
776	0.362332297
777	0.3622063079
778	0.3619057196
779	0.3616970616
780	0.3614989123
781	0.3612250989
782	0.361014534
783	0.360843153
784	0.3608057369
785	0.3606776018
786	0.3605582869
787	0.3603319647
788	0.360197046
789	0.3600139083
790	0.359828298
791	0.3596597106
792	0.3594509753
793	0.3593051408
794	0.359163954
795	0.3590220947
796	0.3588708715
797	0.3587391802
798	0.3586538278
799	0.3584582018
800	0.3582813617
801	0.3580757494
802	0.3579366831
803	0.3577195798
804	0.3574878696
805	0.3573610927
806	0.3571419174
807	0.3570138207
808	0.3568523797
809	0.3567019155
810	0.3565912067
811	0.3564919799
812	0.3562652366
813	0.3561307974
814	0.3559400678
815	0.3556943725
816	0.3554023464
817	0.3552675004
818	0.3550834679
819	0.3548883098
820	0.3547091227
821	0.3545577592
822	0.3543694901
823	0.3540911018
824	0.3539439649
825	0.3537252837
826	0.3535418213
827	0.3533682825
828	0.3531341247
829	0.3529636072
830	0.3527652897
831	0.3526394871
832	0.352501844
833	0.3522879627
834	0.3521495903
835	0.3519105201
836	0.3517865453
837	0.3516690435
838	0.3515439881
839	0.3512830329
840	0.3510505794
841	0.350826131
842	0.3507098053
843	0.3505956948
844	0.3505039933
845	0.3503888379
846	0.3501949283
847	0.3500417656
848	0.3498607341
849	0.3497522017
850	0.3496455499
851	0.349502426
852	0.3493015295
853	0.3491360699
854	0.3489342195
855	0.3487268634
856	0.3485889882
857	0.3483789972
858	0.3483027879
859	0.3481099289
860	0.3480198317
861	0.3478546355
862	0.347739183
863	0.3475820495
864	0.347356451
865	0.3471011654
866	0.3469927886
867	0.3468168114
868	0.3466946105
869	0.3465083019
870	0.3463061745
871	0.3461718503
872	0.3459991782
873	0.3458823397
874	0.3458010539
875	0.345634512
876	0.3454226515
877	0.3453186231
878	0.3451664931
879	0.3449757355
880	0.344835163
881	0.3445859039
882	0.3444567355
883	0.3441909722
884	0.3439315615
885	0.3437631838
886	0.3435284271
887	0.3433218455
888	0.3431577782
889	0.3430250343
890	0.3428084923
891	0.3426610245
892	0.342505876
893	0.3423696435
894	0.3422080543
895	0.3421161456
896	0.3418215872
897	0.3416774565
898	0.3414774426
899	0.3413240675
900	0.3411934701
901	0.3409643386
902	0.3408304448
903	0.3407595834
904	0.3406417382
905	0.3404607958
906	0.3402848683
907	0.3401685627
908	0.3400166418
909	0.3398984574
910	0.3397013015
911	0.3395740821
912	0.3393713063
913	0.3391512252
914	0.3389893022
915	0.3388661545
916	0.3387010545
917	0.3385927245
918	0.3384791978
919	0.338347346
920	0.3381555285
921	0.3379536956
922	0.3377949642
923	0.3376752789
924	0.337403254
925	0.3372355416
926	0.3370281192
927	0.3367910722
928	0.3366618574
929	0.3365080198
930	0.3363345745
931	0.3360762615
932	0.3359744014
933	0.3358499011
934	0.3357437398
935	0.3355995558
936	0.3354274177
937	0.3353425184
938	0.3350871439
939	0.3349106855
940	0.3348051288
941	0.3345896328
942	0.33442213
943	0.3342215131
944	0.3340868415
945	0.3339864935
946	0.3339322901
947	0.3337958275
948	0.3336400554
949	0.3334998733
950	0.3332965125
951	0.3331644222
952	0.3330567394
953	0.3329413
954	0.332769265
955	0.3326765884
956	0.3325953024
957	0.3325090567
958	0.3323900869
959	0.3321918387
960	0.3320714715
961	0.3319067692
962	0.3316799028
963	0.3315749887
964	0.3314609386
965	0.3313352481
966	0.3311325764
967	0.3310357635
968	0.3309263917
969	0.3307948771
970	0.3306220488
971	0.3304494852
972	0.3303358821
973	0.3302721338
974	0.3301095037
975	0.3298653275
976	0.3297069981
977	0.3294953766
978	0.3293412896
979	0.329196562
980	0.3289804195
981	0.3288013563
982	0.328628453
983	0.3284321552
984	0.3282927129
985	0.328101751
986	0.3280151925
987	0.3278647268
988	0.3277015504
989	0.3275956265
990	0.3274859475
991	0.3272863519
992	0.3270578458
993	0.3269116164
994	0.3267764331
995	0.3265711604
996	0.3264779111
997	0.3263034799
998	0.326149194
999	0.3259915368
