,baseSymbol,baseLastPrice,symbolType,strikePrice,expirationDate,daysToExpiration,bidPrice,midpoint,askPrice,lastPrice,volume,openInterest,volumeOpenInterestRatio,volatility,tradeTime,exportedAt,minPrice,maxPrice,finalPrice,firstPrice
511,PFE,32.64,Call,34.5,2020-07-17 00:00:00,18,0.29,0.32,0.35,0.3,2,568,4.69,31.92,2020-06-29 00:00:00,2020-06-29 00:00:00,32.20000076293945,36.33000183105469,36.25,32.63999938964844
512,PFE,32.64,Call,32.5,2020-07-17 00:00:00,18,1.01,1.06,1.1,1.05,2,1,2.47,33.52,2020-06-29 00:00:00,2020-06-29 00:00:00,32.20000076293945,36.33000183105469,36.25,32.63999938964844
513,LNG,46.43,Call,50.0,2020-07-17 00:00:00,18,0.65,0.75,0.85,0.72,1,294,4.57,47.18,2020-06-29 00:00:00,2020-06-29 00:00:00,45.2400016784668,51.88999938964844,49.84000015258789,46.43000030517578
514,IBP,67.33,Call,75.0,2020-07-17 00:00:00,18,0.65,0.98,1.3,0.95,559,125,4.47,56.01,2020-06-29 00:00:00,2020-06-29 00:00:00,63.88999938964844,77.38999938964844,77.33999633789062,67.33000183105469
515,RH,252.94,Call,290.0,2020-07-17 00:00:00,18,2.8,3.0,3.2,3.0,1,248,4.35,60.82,2020-06-29 00:00:00,2020-06-29 00:00:00,246.5,287.510009765625,281.8900146484375,252.94000244140625
516,RH,252.94,Call,300.0,2020-07-17 00:00:00,18,1.65,1.9,2.15,1.03,1,416,2.9,52.45,2020-06-29 00:00:00,2020-06-29 00:00:00,246.5,287.510009765625,281.8900146484375,252.94000244140625
517,C,50.29,Put,47.0,2020-07-17 00:00:00,18,1.27,1.31,1.34,1.46,1,308,4.26,65.42,2020-06-29 00:00:00,2020-06-29 00:00:00,49.029998779296875,53.599998474121094,50.220001220703125,50.290000915527344
518,C,50.29,Call,52.0,2020-07-17 00:00:00,18,1.83,1.87,1.9,1.8,1,809,1.58,56.34,2020-06-29 00:00:00,2020-06-29 00:00:00,49.029998779296875,53.599998474121094,50.220001220703125,50.290000915527344
519,AAPL,361.78,Put,375.0,2020-07-17 00:00:00,18,17.6,17.88,18.15,18.4,1,240,4.25,32.78,2020-06-29 00:00:00,2020-06-29 00:00:00,87.81999969482422,99.95500183105469,96.32749938964844,90.44499969482422
520,AAPL,361.78,Call,357.5,2020-07-17 00:00:00,18,12.5,12.95,13.4,12.4,991,682,1.45,31.32,2020-06-29 00:00:00,2020-06-29 00:00:00,87.81999969482422,99.95500183105469,96.32749938964844,90.44499969482422
521,PLNT,59.52,Put,57.5,2020-07-17 00:00:00,18,3.3,3.5,3.7,3.6,2,685,4.06,88.07,2020-06-29 00:00:00,2020-06-29 00:00:00,53.88999938964844,64.61000061035156,58.529998779296875,59.52000045776367
522,PLNT,59.52,Put,50.0,2020-07-17 00:00:00,18,1.35,1.5,1.65,1.43,3,1,3.16,98.53,2020-06-29 00:00:00,2020-06-29 00:00:00,53.88999938964844,64.61000061035156,58.529998779296875,59.52000045776367
523,ET,7.02,Put,6.5,2020-07-17 00:00:00,18,0.16,0.18,0.2,0.18,902,229,3.94,64.73,2020-06-29 00:00:00,2020-06-29 00:00:00,6.050000190734863,7.21999979019165,6.46999979019165,7.019999980926514
524,NVDA,368.0,Call,415.0,2020-07-17 00:00:00,18,1.18,1.35,1.52,1.19,3,872,3.93,38.19,2020-06-29 00:00:00,2020-06-29 00:00:00,356.0,431.69000244140625,408.05999755859375,368.0
525,KTB,17.68,Call,17.5,2020-07-17 00:00:00,18,1.5,1.7,1.9,1.65,588,152,3.87,99.84,2020-06-29 00:00:00,2020-06-29 00:00:00,15.170000076293945,18.344999313354492,17.709999084472656,17.68000030517578
526,AVLR,133.59,Put,130.0,2020-07-17 00:00:00,18,4.5,4.85,5.2,4.8,667,174,3.83,55.5,2020-06-29 00:00:00,2020-06-29 00:00:00,121.19000244140625,144.1999969482422,124.30999755859375,133.58999633789062
527,KR,34.13,Call,37.5,2020-07-17 00:00:00,18,0.08,0.11,0.15,0.1,822,218,3.77,31.08,2020-06-29 00:00:00,2020-06-29 00:00:00,32.31999969482422,34.43000030517578,33.849998474121094,34.130001068115234
528,KR,34.13,Call,35.5,2020-07-17 00:00:00,18,0.38,0.4,0.42,0.39,500,273,1.83,29.48,2020-06-29 00:00:00,2020-06-29 00:00:00,32.31999969482422,34.43000030517578,33.849998474121094,34.130001068115234
529,UAL,35.27,Call,34.0,2020-07-17 00:00:00,18,3.6,3.68,3.75,3.7,4,1,3.64,98.31,2020-06-29 00:00:00,2020-06-29 00:00:00,29.229999542236328,38.369998931884766,33.91999816894531,35.27000045776367
530,UN,53.7,Call,55.0,2020-07-17 00:00:00,18,0.45,0.6,0.75,0.6,1,298,3.58,23.27,2020-06-29 00:00:00,2020-06-29 00:00:00,51.880001068115234,54.58000183105469,54.150001525878906,53.70000076293945
531,NKE,95.87,Put,87.0,2020-07-17 00:00:00,18,0.52,0.58,0.63,0.66,905,269,3.36,42.3,2020-06-29 00:00:00,2020-06-29 00:00:00,93.69999694824219,100.02999877929688,96.27999877929688,95.87000274658203
532,BHP,48.98,Put,47.5,2020-07-17 00:00:00,18,1.0,1.13,1.25,1.23,2,605,3.34,44.28,2020-06-29 00:00:00,2020-06-29 00:00:00,48.47999954223633,53.9900016784668,53.84000015258789,48.97999954223633
533,BHP,48.98,Call,47.5,2020-07-17 00:00:00,18,2.42,2.55,2.68,2.47,1,497,2.01,37.5,2020-06-29 00:00:00,2020-06-29 00:00:00,48.47999954223633,53.9900016784668,53.84000015258789,48.97999954223633
534,NFLX,447.24,Call,525.0,2020-07-17 00:00:00,18,2.97,3.34,3.7,3.31,882,267,3.3,58.44,2020-06-29 00:00:00,2020-06-29 00:00:00,432.1400146484375,575.3699951171875,492.989990234375,447.239990234375
535,WMT,119.06,Call,119.0,2020-07-17 00:00:00,18,2.21,2.34,2.48,2.22,695,212,3.28,20.38,2020-06-29 00:00:00,2020-06-29 00:00:00,118.22000122070312,134.1300048828125,131.74000549316406,119.05999755859375
536,WMT,119.06,Call,123.0,2020-07-17 00:00:00,18,0.7,0.76,0.83,0.73,1,1,1.46,19.82,2020-06-29 00:00:00,2020-06-29 00:00:00,118.22000122070312,134.1300048828125,131.74000549316406,119.05999755859375
537,SFIX,24.92,Call,24.0,2020-07-17 00:00:00,18,1.85,2.13,2.4,2.0,1,481,3.22,68.63,2020-06-29 00:00:00,2020-06-29 00:00:00,23.209999084472656,30.440000534057617,26.469999313354492,24.920000076293945
538,ORCL,54.76,Call,56.0,2020-07-17 00:00:00,18,0.75,0.78,0.82,0.78,3,1,3.21,26.37,2020-06-29 00:00:00,2020-06-29 00:00:00,53.849998474121094,57.84000015258789,54.900001525878906,54.7599983215332
539,ORCL,54.76,Call,57.0,2020-07-17 00:00:00,18,0.45,0.48,0.5,0.45,1,1,1.34,25.37,2020-06-29 00:00:00,2020-06-29 00:00:00,53.849998474121094,57.84000015258789,54.900001525878906,54.7599983215332
